,real,real,real,real,sys,sys,sys,user,user,user
,average,std,max,len,average,std,max,average,std,max
library,,,,,,,,,,
commonmark,0.9790000000000001,,0.9790000000000001,1.0,0.11199999999999999,,0.11199999999999999,0.835,,0.835
community,3.776,0.1648211151521555,3.918,4.0,0.3155,0.05261495351450321,0.35200000000000004,3.21075,0.13152534609977912,3.375
compile,1.5930000000000002,,1.5930000000000002,1.0,0.157,,0.157,1.403,,1.403
comtypes,5.351,,5.351,1.0,0.252,,0.252,5.0360000000000005,,5.0360000000000005
conda,3.83775,0.11539316848641122,3.9339999999999997,4.0,0.36425,0.022246722605064,0.38799999999999996,3.3152500000000003,0.0665300683901647,3.358
conda-build,4.008,,4.008,1.0,0.354,,0.354,3.447,,3.447
conda-package-handling,0.75,,0.75,1.0,0.08900000000000001,,0.08900000000000001,0.63,,0.63
conda-verify,0.794,,0.794,1.0,0.121,,0.121,0.649,,0.649
configargparse,0.9,,0.9,1.0,0.099,,0.099,0.741,,0.741
configparser,0.95775,0.0324794807019242,1.006,4.0,0.09175,0.018786076404259257,0.11599999999999999,0.8354999999999999,0.01782320584705981,0.862
confuse,1.17475,0.020516253719104482,1.194,4.0,0.11549999999999999,0.020728402414722326,0.146,1.0,0.019442222095223567,1.024
constantly,0.8859999999999999,,0.8859999999999999,1.0,0.09699999999999999,,0.09699999999999999,0.759,,0.759
contextily,9.184249999999999,0.3580431770983313,9.5,4.0,0.66625,0.03456756668709365,0.711,8.027000000000001,0.3894774276728585,8.402000000000001
contextlib2,0.8860000000000001,0.026457513110645915,0.909,4.0,0.102,0.025258661880630168,0.129,0.7557499999999999,0.023556669260883702,0.7759999999999999
contextvars,1.835,,1.835,1.0,0.22,,0.22,1.585,,1.585
contractions,1.7930000000000001,,1.7930000000000001,1.0,0.23399999999999999,,0.23399999999999999,1.5030000000000001,,1.5030000000000001
control,9.69525,0.24321372631220228,10.052,4.0,0.83175,0.05891448605111202,0.892,8.63575,0.09381320091898845,8.722999999999999
