library,user_time_constant_median,user_time_constant_average,user_time_constant_std,user_time_constant_max,user_time_full_median,user_time_full_average,user_time_full_std,user_time_full_max,user_time_solo_len,user_time_solo_median,user_time_solo_average,user_time_solo_std,user_time_solo_max
s4cmd,0.698,0.6988571428571427,0.04180681193070723,0.75,4.274,4.2584285714285715,0.1587554273537939,4.421,7.0,1.415,1.3915714285714287,0.056815071776355114,1.435
sacrebleu,0.7140000000000001,0.702,0.03861778519456198,0.74,0.917,0.8945714285714285,0.04847630741870078,0.9520000000000001,7.0,0.846,0.8465714285714284,0.03079424807144533,0.889
sacred,0.84,0.8344285714285714,0.057154344083534495,0.9109999999999999,4.312,4.291428571428571,0.12786953917027696,4.463,7.0,0.978,0.9472857142857141,0.07290110718344013,1.041
sacremoses,0.735,0.7385,0.03535062469980786,0.777,2.4610000000000003,2.47375,0.17922867144144866,2.696,4.0,0.8975,0.902,0.06352427357580201,0.97
sadedegel,1.0375,1.028,0.049966655548142044,1.072,20.301000000000002,20.19425,0.7809833011445705,20.874000000000002,4.0,1.8619999999999999,1.8652499999999999,0.04533854136750916,1.915
sage-combinat-widgets,1.133,1.1501428571428574,0.05185373201428727,1.218,10.094,10.165857142857144,0.27749320025989116,10.715,7.0,1.294,1.3044285714285715,0.05772595355891232,1.376
sage-explorer,2.383,2.397142857142857,0.057205560835256054,2.4819999999999998,13.744000000000002,13.61957142857143,0.3354901176601471,14.092,7.0,2.356,2.3587142857142855,0.07897407651821436,2.46
sagemaker,0.856,0.8380000000000001,0.055196618253899155,0.879,12.133,12.11175,0.1797189936168874,12.298,4.0,2.085,2.06425,0.04825194296606092,2.094
sagemath,0.625,0.625,,0.625,2.5839999999999996,2.5839999999999996,,2.5839999999999996,1.0,1.368,1.368,,1.368
salem,0.6920000000000001,0.6832857142857142,0.05231224931668898,0.725,0.823,0.8099999999999999,0.059149528034183566,0.889,7.0,0.861,0.8472857142857144,0.0431575187953551,0.887
salib,0.7004999999999999,0.707,0.03868677637987779,0.759,12.776,12.7765,0.09561206339508926,12.892999999999999,4.0,3.034,3.05875,0.09488370074289203,3.193
salty-ilthermo,0.621,0.621,,0.621,5.166,5.166,,5.166,1.0,3.042,3.042,,3.042
samplerate,0.735,0.735,,0.735,3.3339999999999996,3.3339999999999996,,3.3339999999999996,1.0,0.866,0.866,,0.866
sanic,0.8049999999999999,0.792,0.10340212763768446,0.893,3.492,3.525,0.16912914197933684,3.753,4.0,1.077,1.05925,0.050062460986252,1.097
sanpy,0.7490000000000001,0.7490000000000001,,0.7490000000000001,6.832999999999999,6.832999999999999,,6.832999999999999,1.0,0.7929999999999999,0.7929999999999999,,0.7929999999999999
sap-document-classification-client,0.7175,0.6827500000000001,0.08237869870300202,0.736,2.1515,2.168,0.03539303132915676,2.221,4.0,1.4409999999999998,1.438,0.03462176579359673,1.4769999999999999
sas_kernel,0.81,0.8187142857142857,0.04968472027264953,0.889,20.874000000000002,20.896714285714285,0.288620116119046,21.226,7.0,2.05,2.053714285714286,0.0684950467447934,2.14
saspy,0.635,0.63525,0.026348624252510788,0.66,1.7075,1.716,0.039217343102255116,1.771,4.0,1.7095,1.703,0.0406530031690977,1.745
sastrawi,0.6744999999999999,0.6729999999999999,0.015209646062066397,0.6859999999999999,0.8034999999999999,0.8045,0.020141168453361048,0.83,4.0,0.7885,0.7957500000000001,0.03326033673912517,0.841
