library,real_time_solo_len,real_time_solo_median,real_time_solo_average,real_time_solo_std,real_time_solo_max,real_time_full_median,real_time_full_average,real_time_full_std,real_time_full_max,real_time_constant_median,real_time_constant_average,real_time_constant_std,real_time_constant_max
pyqubo,1.0,1.105,1.105,,1.105,5.33,5.33,,5.33,0.852,0.852,,0.852
pyquery,4.0,0.9375,0.937,0.015165750888103142,0.955,1.851,1.83525,0.05979060684310419,1.889,0.7915,0.7869999999999999,0.025468935326524052,0.813
pyquil,4.0,4.0375,4.101500000000001,0.25541404294465353,4.455,14.073500000000001,14.046500000000002,0.3167043837187402,14.323,0.872,0.8780000000000001,0.03445770354120159,0.919
pyradiomics,1.0,0.9840000000000001,0.9840000000000001,,0.9840000000000001,8.2,8.2,,8.2,0.732,0.732,,0.732
pyrallel.lib,1.0,0.922,0.922,,0.922,2.134,2.134,,2.134,0.8340000000000001,0.8340000000000001,,0.8340000000000001
pyramid-arima,1.0,1.112,1.112,,1.112,14.880999999999998,14.880999999999998,,14.880999999999998,0.9079999999999999,0.9079999999999999,,0.9079999999999999
pyrasgo,1.0,1.273,1.273,,1.273,17.292,17.292,,17.292,1.113,1.113,,1.113
pyrcca,1.0,0.9259999999999999,0.9259999999999999,,0.9259999999999999,6.684,6.684,,6.684,0.815,0.815,,0.815
pyrdfa3,4.0,1.0085,1.0037500000000001,0.03352983745859795,1.036,1.9315,1.922,0.07599561390852322,2.004,0.8205,0.815,0.024041630560342562,0.835
pyre-check,4.0,3.0119999999999996,2.9884999999999997,0.1184046733311935,3.095,4.6505,4.69425,0.1315684232633347,4.879,2.9655000000000005,2.91,0.18911548499968678,3.06
pyreadline,4.0,1.67,1.6695,0.029501412395567358,1.705,1.7229999999999999,1.71425,0.10144086947576914,1.8030000000000002,0.7695000000000001,0.76525,0.04665743956398242,0.8140000000000001
pyreadr,4.0,1.113,1.10875,0.03849999999999989,1.151,6.736000000000001,6.683,0.11483321238503545,6.749,0.7945,0.7827499999999998,0.037659660115301086,0.8140000000000001
pyreadstat,4.0,1.2185000000000001,1.217,0.0098319208025017,1.226,6.8865,6.804,0.2203920748726387,6.962000000000001,0.7675,0.7589999999999999,0.0666383273099398,0.823
pyrect,4.0,1.6400000000000001,1.619,0.05907057925340945,1.662,1.5865,1.6047500000000001,0.07103696220982435,1.704,0.7435,0.739,0.05990548110704615,0.7959999999999999
pyregion,4.0,5.7490000000000006,5.76725,0.11015859778821915,5.914,10.8475,10.880749999999999,0.15564783968947277,11.097999999999999,5.592499999999999,5.63375,0.1515483971101863,5.846
pyresparser,4.0,1.6035000000000001,1.6355000000000002,0.08408130985341906,1.76,21.7395,21.7755,0.29088886766827865,22.147,1.2685,1.27,0.05771770381203099,1.337
pyrestcli,1.0,1.693,1.693,,1.693,4.127,4.127,,4.127,0.828,0.828,,0.828
pyret,1.0,1.834,1.834,,1.834,14.742,14.742,,14.742,0.826,0.826,,0.826
pyrfc3339,1.0,0.909,0.909,,0.909,1.329,1.329,,1.329,0.787,0.787,,0.787
pyrfr,7.0,1.149,1.1461428571428574,0.03392849624051817,1.185,1.115,1.117857142857143,0.07181092899976657,1.2429999999999999,0.773,0.7568571428571429,0.04963677592077798,0.8140000000000001
pyriemann,1.0,0.995,0.995,,0.995,11.600999999999999,11.600999999999999,,11.600999999999999,0.863,0.863,,0.863
pyriodic-aflow,1.0,0.9490000000000001,0.9490000000000001,,0.9490000000000001,3.227,3.227,,3.227,0.773,0.773,,0.773
pyrmt,7.0,1.62,1.6114285714285717,0.06044241651593461,1.6980000000000002,15.25,15.239,0.203729395686206,15.512,0.816,0.807,0.03172801075810878,0.851
pyro-api,4.0,0.893,0.891,0.04039801975344833,0.9309999999999999,0.906,0.9035,0.04012065137390802,0.95,0.7925,0.79,0.010230672835481923,0.799
pyro-ppl,4.0,1.424,1.4184999999999999,0.07588807547961658,1.486,36.3925,36.926500000000004,6.209627712941685,44.456,0.8215,0.8147500000000001,0.08375907910986925,0.888
pyro4,1.0,0.95,0.95,,0.95,1.162,1.162,,1.162,0.818,0.818,,0.818
pyro_ppl,1.0,1.419,1.419,,1.419,55.257,55.257,,55.257,0.871,0.871,,0.871
pyrocko,1.0,1.589,1.589,,1.589,10.47,10.47,,10.47,0.867,0.867,,0.867
pyrolite,4.0,1.46,1.43425,0.08283467470409558,1.5030000000000001,27.1255,27.091499999999996,0.3445620408576662,27.386,1.0565,1.047,0.033595634637057586,1.0759999999999998
pyroomacoustics,1.0,9.129,9.129,,9.129,9.399,9.399,,9.399,8.706,8.706,,8.706
pyrosm,4.0,273.22299999999996,273.51149999999996,2.0637688016507045,276.16200000000003,284.58349999999996,284.421,0.5530105484226095,284.846,272.60699999999997,276.18525,7.460605264766856,287.36400000000003
pyross,4.0,32.969,32.92825,0.21382761748660883,33.105,33.112,33.140750000000004,0.3660668199477603,33.599000000000004,33.3515,33.304500000000004,0.4408934111551191,33.781
pyrouge,7.0,1.804,1.8284285714285713,0.08541439602092296,1.9580000000000002,1.818,1.833142857142857,0.08138678961483561,1.9509999999999998,0.773,0.7734285714285712,0.013660858231423323,0.7929999999999999
pyroutelib3,4.0,0.934,0.93625,0.02536894426919135,0.9690000000000001,1.7705000000000002,1.7807500000000003,0.09704079897994793,1.8940000000000001,0.8135,0.8015000000000001,0.036336391308622464,0.8290000000000001
pyrsistent,4.0,1.758,1.7497500000000001,0.0676085546855327,1.821,1.7385000000000002,1.738,0.08552192701290125,1.8230000000000002,0.796,0.7969999999999999,0.022671568097509216,0.823
pyrss2gen,1.0,1.518,1.518,,1.518,1.57,1.57,,1.57,0.738,0.738,,0.738
